Time,Spot,Overall OI PCR,Overall Vol PCR,Max Pain
2026-06-20 04:48:50.048500,24032.0,2.66,0.0,24000
2026-06-20 04:48:50.415052,24032.0,2.77,0.0,24000
2026-06-20 04:48:50.833519,24032.0,2.47,0.0,24000
2026-06-20 04:48:51.247869,24032.0,2.49,0.0,24000
2026-06-20 04:48:51.743142,24032.0,2.54,0.0,24000
2026-06-20 04:48:52.170332,24032.0,2.03,0.0,24000
2026-06-20 04:48:52.566859,24032.0,2.04,0.0,24000
2026-06-20 04:48:52.965028,24032.0,1.87,0.0,24000
2026-06-20 04:48:53.350825,24032.0,1.61,0.0,24000
2026-06-20 04:48:53.771257,24032.0,1.62,0.0,24000
2026-06-20 04:48:54.202797,24032.0,1.63,0.0,24000
2026-06-20 04:48:54.640169,24032.0,1.52,0.0,24000
2026-06-20 04:48:55.089495,24032.0,1.52,0.0,24000
2026-06-20 04:48:55.461542,24032.0,1.39,0.0,24000
2026-06-20 04:48:55.867678,24032.0,1.33,0.0,24000
2026-06-20 04:48:56.294662,24032.0,1.33,0.0,24000
2026-06-20 04:48:56.723847,24032.0,1.34,0.0,24000
2026-06-20 04:48:57.119931,24032.0,1.16,0.0,24000
2026-06-20 04:48:57.556369,24032.0,1.11,0.0,24000
2026-06-20 04:48:57.950902,24032.0,1.11,0.0,24000
2026-06-20 04:48:58.312458,24032.0,1.11,0.0,24000
2026-06-20 04:48:58.709225,24032.0,1.04,0.0,24000
2026-06-20 04:48:59.124510,24032.0,1.02,0.0,24000
2026-06-20 04:48:59.544977,24032.0,1.02,0.0,24000
2026-06-20 04:48:59.968888,24032.0,0.96,0.0,24000
2026-06-20 04:49:00.372948,24032.0,0.96,0.0,24000
2026-06-20 04:49:00.816191,24032.0,0.94,0.0,24000
2026-06-20 04:49:01.293877,24032.0,0.94,0.0,24000
2026-06-20 04:49:01.716759,24032.0,0.88,0.0,24000
2026-06-20 04:49:02.260736,24032.0,0.88,0.0,24000
2026-06-20 04:49:02.680233,24032.0,0.88,0.0,24000
2026-06-20 04:49:03.110820,24032.0,0.87,0.0,24000
2026-06-20 04:49:03.525003,24032.0,0.85,0.0,24000
2026-06-20 04:49:04.000438,24032.0,0.85,0.0,24000
2026-06-20 04:49:04.446498,24032.0,0.85,0.0,24000
2026-06-20 04:49:04.836953,24032.0,0.84,0.0,24000
2026-06-20 04:49:05.241953,24032.0,0.75,0.0,24000
2026-06-20 04:49:05.657900,24032.0,0.75,0.0,24000
